Event,Img_Name,Done_Time,Queue,Cumuli,CC_Cat_Bool,CC_Time,CR_Class,CR_Val,CR_Time,BBS_Time,HAAR_Time,FF_BBS_Bool,FF_BBS_Val,FF_BBS_Time,Face_Bool,PC_Class,PC_Val,PC_Time,Total_Time
143,2020_06_02_02-48-37.533207,2020_06_02_02-48-43.811200,8,8,True,0.47791624069213867,,,,0.4649844169616699,0.4256720542907715,True,0.35334566,0.47257089614868164,True,False,0.4150723,4.170017242431641,6.011160850524902
143,2020_06_02_02-48-38.015515,2020_06_02_02-48-46.485785,10,8,True,0.6812279224395752,,,,0.4818394184112549,0.4592447280883789,False,0.8468348,0.5790767669677734,False,,,,2.2013888359069824
143,2020_06_02_02-48-41.187789,2020_06_02_02-48-51.817412,13,8,True,0.811814546585083,,,,0.4738194942474365,0.42220091819763184,False,0.96728855,0.5819931030273438,False,,,,2.289828062057495
143,2020_06_02_02-48-44.907451,2020_06_02_02-48-56.916387,16,8,True,0.8049283027648926,,,,0.4534645080566406,0.35301780700683594,False,0.9888043,0.6204028129577637,False,,,,2.231813430786133
143,2020_06_02_02-48-45.589591,2020_06_02_02-48-59.970328,19,8,True,0.8453981876373291,,,,0.5531775951385498,0.49596357345581055,False,0.97992057,0.5999164581298828,False,,,,2.4944558143615723
143,2020_06_02_02-48-46.602993,2020_06_02_02-49-02.663629,22,8,True,0.8013596534729004,,,,0.48235058784484863,0.41574573516845703,False,0.98385054,0.6085846424102783,False,,,,2.3080406188964844
143,2020_06_02_02-48-47.128817,2020_06_02_02-49-05.502526,24,8,True,0.734114408493042,,,,0.6271405220031738,0.48493003845214844,False,0.97134376,0.48070645332336426,False,,,,2.3268914222717285
143,2020_06_02_02-48-48.954227,2020_06_02_02-49-09.314104,28,8,True,0.7120838165283203,,,,0.6765568256378174,0.5651376247406006,False,0.99246526,0.47928810119628906,False,,,,2.4330663681030273
143,2020_06_02_02-48-49.601780,2020_06_02_02-49-12.478627,31,8,True,0.8463773727416992,,,,0.4877493381500244,0.7877099514007568,False,0.8348631,0.5117983818054199,False,,,,2.6336350440979004
143,2020_06_02_02-48-50.259016,2020_06_02_02-49-15.519026,34,8,True,0.8155629634857178,,,,0.6350631713867188,0.5794928073883057,False,0.9786401,0.5981378555297852,False,,,,2.6282567977905273
143,2020_06_02_02-48-50.809246,2020_06_02_02-49-18.378783,36,8,True,0.7267062664031982,,,,0.5594408512115479,0.5019855499267578,False,0.97827166,0.626598596572876,False,,,,2.41473126411438
143,2020_06_02_02-48-51.953204,2020_06_02_02-49-20.927373,36,8,True,0.7227602005004883,,,,0.5262768268585205,0.4040215015411377,False,0.96317166,0.44135594367980957,False,,,,2.094414472579956
143,2020_06_02_02-48-52.479893,2020_06_02_02-49-24.138711,39,8,True,0.8797869682312012,,,,0.6063683032989502,0.7322430610656738,False,0.872863,0.536696195602417,False,,,,2.755094528198242
143,2020_06_02_02-48-53.053692,2020_06_02_02-49-27.493825,42,8,True,0.8780627250671387,,,,0.5657625198364258,0.8385388851165771,False,0.944946,0.608039140701294,False,,,,2.8904032707214355
146,2020_06_02_03-34-14.232818,2020_06_02_03-34-16.409474,3,0,True,0.5745823383331299,,,,0.458768367767334,0.3300743103027344,False,0.96090156,0.5039021968841553,False,,,,1.8673272132873535
146,2020_06_02_03-34-15.757139,2020_06_02_03-34-19.333948,5,0,True,0.693326473236084,,,,0.40938735008239746,0.238936185836792,False,0.7816606,0.4944772720336914,False,,,,1.8361272811889648
146,2020_06_02_03-34-16.268180,2020_06_02_03-34-21.585736,7,0,True,0.6331102848052979,,,,0.49312567710876465,0.15156936645507812,False,0.524751,0.49207329750061035,False,,,,1.769878625869751
